site,crew,date,start_time_mst,visit_type,sensor_pulled,sensor_deployed,sensor_swapped_notes,sensors_cleaned,wiper_working,rdo_cap_condition,rdo_cap_replaced,ph_junction_replaced,cals_performed,cal_report_collected,photos_downloaded,sensor_malfunction,visit_comments,start_DT,DT_round,DT_join,field_season,last_site_visit,sonde_employed,end_dt
archery,Katie Willi,2022-08-17,13:00,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,"Black water event occuring early in the week; still highly turbid water. Sensor dirty, wiper unable to clear most sediment off.",2022-08-17T20:00:00Z,2022-08-17T20:00:00Z,2022-08-17 13:00:00,2022,2022-08-17T20:00:00Z,0,NA
archery,Eric Williams,2022-09-10,15:00,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"pH, ORP, Conductivity, DO",Yes,"No, will return",NA,"Cleaned sonde - it was super dirty, didn't bring laptop so I'll go back for the photos",2022-09-10T22:00:00Z,2022-09-10T22:00:00Z,2022-09-10 15:00:00,2022,2022-09-10T22:00:00Z,0,NA
archery,Katie Willi,2022-09-14,12:15,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,Cleaned sonde and changed out batteries. River looking N A S T Y.,2022-09-14T19:15:00Z,2022-09-14T19:15:00Z,2022-09-14 12:15:00,2022,2022-09-14T19:15:00Z,0,NA
archery,Eric Williams,2022-09-16,16:30,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,"Yes, camera stopped at 8/8 for some reason? It was on ""On"", so I switched it to ""Setup""...",NA,"Cleaned sonde, checked data as specific conductivity (or actual) wasn't reading. On live reading, conductivity was fine but pH was not read. Removed then reinstalled pH sensor fixed it. Downloaded photos.",2022-09-16T23:30:00Z,2022-09-16T23:30:00Z,2022-09-16 16:30:00,2022,2022-09-16T23:30:00Z,0,NA
archery,Eric Williams and Marin MacDonald,2022-09-23,17:30,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,NA,NA,"Cleaned sensors, checked camera - it is still not taking any new pictures... sonde and housing were dirty so we cleaned it",2022-09-24T00:30:00Z,2022-09-24T00:30:00Z,2022-09-23 17:30:00,2022,2022-09-24T00:30:00Z,0,NA
archery,Marin MacDonald,2022-10-04,15:45,Sensor Cleaning or Check,x,NA,NA,No,No,"Good (mostly black, white speckles)",No,No,None,No,NA,NA,"Began calibrating and cleaning sensors, and AquaTroll stopped responding. Turned off log and placed sensor in calibration mode with water to be checked later",2022-10-04T22:45:00Z,2022-10-04T22:45:00Z,2022-10-04 15:45:00,2022,2022-10-04T22:45:00Z,1,NA
archery,Eric Williams,2022-10-07,15:30,Sensor Cleaning or Check,NA,x,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,"field pic taken, camera not functioning",NA,"VuLink was not recognizing sensor; I disconnected both cable junctions and cleaned them as well as the sensor junction. VuLink then recognized sensor upon reconnection. Checked camera and it wasn't taking pictures even though it was on ""on"" and had a SIM card. Deleted old pics. Will return to check and clean stuff. Checked outfalls upstream and downstream of sensor and discovered a small stream coming from somewhere east of the Archery Range, going under the Archery Range road, then emptying downstream from sonde onto hillside and into river. We should look into this outfall and the one under the bridge. Took pictures of that stuff.",2022-10-07T22:30:00Z,2022-10-07T22:30:00Z,2022-10-07 15:30:00,2022,2022-10-07T22:30:00Z,0,NA
archery,Eric Williams,2022-10-13,13:05,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,RDO,Yes,"no, camera pulled",NA,"Cleaned sonde. VuLink once again did not recognize AT. Could still be a cord issue. Cleaned cord again with brush and reconnected. Perhaps this could be an issue with the log as well, where each time you connect the cord/VuLink doesn't like that a log is going? Because every time I stop the log, it connects successfully (could be coincidental). Checked and pulled camera as it was not taking pictures. Got error message that VuLink was not connected to server but I sent a Test Upload and it worked.",2022-10-13T20:05:00Z,2022-10-13T20:00:00Z,2022-10-13 13:00:00,2022,2022-10-13T20:00:00Z,0,NA
archery,Marin MacDonald and Eric Williams,2022-11-15,16:26,Sensor Cleaning or Check,x,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,field pics taken,NA,Pulled sensor. River very low. Left bank still very wet. Not sure if we downloaded the data or not so we will need to check this.,2022-11-15T23:26:00Z,2022-11-15T23:15:00Z,2022-11-15 16:15:00,2022,2022-11-15T23:15:00Z,1,NA
archery,Eric Williams,2023-04-11,13:43,Sensor Cleaning or Check,NA,x,NA,NA,NA,NA,NA,NA,Level,Yes,field pics taken,NA,"Installed sonde and VuLink. Flows very low and considerable algae buildup at base of PVC underwater. Water moving so slowly that winds were blowing surface of water backwards, creating a CCW current under and north of the bridge which dammed a lot of algae and gunk against the debris/muskrat peninsula. Well dock LACKS SMALLER SECONDARY RING: WILL RETURN TO ADD IT/ANCHOR IN ANOTHER WAY",2023-04-11T20:43:00Z,2023-04-11T20:30:00Z,2023-04-11 13:30:00,2023,2023-04-11T20:30:00Z,0,NA
archery,Katie Willi,2023-04-16,15:45,Sensor Cleaning or Check,NA,NA,NA,No,NA,NA,No,No,None,No,NA,NA,Downloaded data. Installed field camera.,2023-04-16T22:45:00Z,2023-04-16T22:45:00Z,2023-04-16 15:45:00,2023,2023-04-16T22:45:00Z,0,NA
archery,Katie Willi,2023-04-20,15:23,Sensor Cleaning or Check,x,x,NA,NA,Yes,"Good (mostly black, white speckles)",NA,NA,None,No,No,NA,Replaced AT 500 with the beta AT 800.,2023-04-20T22:23:00Z,2023-04-20T22:15:00Z,2023-04-20 15:15:00,2023,2023-04-20T22:15:00Z,0,NA
archery,Eric Williams,2023-04-28,15:17,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,NA,"Yes, SD card collected",NA,Cleaned sonde and started new log. Replaced camera SD card. AT800 looks good.,2023-04-28T22:17:00Z,2023-04-28T22:15:00Z,2023-04-28 15:15:00,2023,2023-04-28T22:15:00Z,0,NA
archery,Eric Williams,2023-05-04,14:37,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"pH, ORP. conductivity, turbidity, DO",Yes,No,NA,"Stage high. Calibrated; had to use a lot of cal fluid. InSitu phone is not on a cellular network, so I had to email the data and cal report to myself by setting up a mobile hotspot with my phone. Changed upload frequency to 6hr at end of VuSitu connection.",2023-05-04T21:37:00Z,2023-05-04T21:30:00Z,2023-05-04 14:30:00,2023,2023-05-04T21:30:00Z,0,NA
archery,Eric Williams,2023-05-08,10:42,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,NA,No,NA,Cleaned sensors. Not sure why turbidity drops to 0 at times. Logging on both VuLink and AT800,2023-05-08T17:42:00Z,2023-05-08T17:30:00Z,2023-05-08 10:30:00,2023,2023-05-08T17:30:00Z,0,NA
archery,Sam Struthers,2023-05-10,18:00,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,no,"No, field pics taken",NA,"Cleaned housing and Sonde, Some sediment on sensors. Could not check live readings. Cap seems to be cross threaded and will need to be fixed.",2023-05-11T01:00:00Z,2023-05-11T01:00:00Z,2023-05-10 18:00:00,2023,2023-05-11T01:00:00Z,0,NA
archery,Eric Williams,2023-05-15,10:29,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,"Cleaned. Sediment and gunk is getting in resistor cap threads making it hard to unscrew, so I wiped it out. Might be a design flaw. Turbidity sometimes 0 on Live Readings and log but okay/better overall on log and after cleaning.",2023-05-15T17:29:00Z,2023-05-15T17:15:00Z,2023-05-15 10:15:00,2023,2023-05-15T17:15:00Z,0,NA
archery,Eric Williams,2023-05-16,13:28,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,NA,No,x,"Cleaned. Turbidity is either 0 or 500NTU in live reading and 0 on log. Chl-a also read errors on Live Reading, so I switched them but error persisted. Added more grease and switched back but error still persisted. Eventually turbidity showed 10NTU on log, which seems too low. Chl-a started reading consistent values. Flows pretty high.",2023-05-16T20:28:00Z,2023-05-16T20:15:00Z,2023-05-16 13:15:00,2023,2023-05-16T20:15:00Z,0,NA
archery,Chloe Miller and Eric Williams,2023-05-22,09:11,Sensor Cleaning or Check,x,x,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"DO, pH, ORP, level, conductivity",Yes,"No, SD card needs checked soon",x,Swapped AT800 and VuLink out and replaced with AT500 (SN 667320) and Tamasag's old VuLink (SN 1011876). Calibrated AT500 including level. Water depth and discharge super high. Weird hillside no longer weeping... maybe construction is moving away? AT800 issues: pH not logging  and turbidity sometimes 0 sometimes also not logging... Test upload with Tamasag VuLink failed,2023-05-22T16:11:00Z,2023-05-22T16:00:00Z,2023-05-22 09:00:00,2023,2023-05-22T16:00:00Z,0,NA
archery,Chloe Miller and Eric Williams,2023-05-22,15:01,Sensor Cleaning or Check,NA,NA,NA,No,NA,NA,No,No,none,No,No,NA,"Switched Tamasag VuLink (SN 1011876) with spare VuLink in my car (SN 821962), so now data from Archery should show up on HydroVu.",2023-05-22T22:01:00Z,2023-05-22T22:00:00Z,2023-05-22 15:00:00,2023,2023-05-22T22:00:00Z,0,NA
archery,"Chloe Miller, Jed Lichtensztajn",2023-06-06,09:20,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"DO, pH, ORP, conductivity",Yes,No,NA,"live readings looked good besides depth, but the preview depth was good. Said RDO cap might be expired, but it looked good.",2023-06-06T16:20:00Z,2023-06-06T16:15:00Z,2023-06-06 09:15:00,2023,2023-06-06T16:15:00Z,0,NA
archery,Jed Lichtensztajn,2023-06-13,09:24,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,NA,Yes,NA,"VuLink Battery was at 36%. Flows were high, water level seemed higher than last time I was there (2023-06-06). Live readings loked good. I took a couple of twigs and other debrees out of the sensor. Collected the SD card and replaced it with a new one. Taped the new projecr sign on the top of the camera. Cleaned housing",2023-06-13T16:24:00Z,2023-06-13T16:15:00Z,2023-06-13 09:15:00,2023,2023-06-13T16:15:00Z,0,NA
archery,Jed Lichtensztajn,2023-06-27,10:00,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (mostly black, white speckles)",No,No,"Conductivity, Ph, ORP, DO",Yes,"No, SD card collected",NA,"Downloaded the new software update for the VuLink, Changed the SD card for the camera, battery level for the camera was at 65%. Put new batteries in the VuLink battery is at 99%. Calibrations & live readings looked good. Cleaned the housing and callibrated the AT. RDO callibrated well and looked good, however I got a notifcation that the RDO cap was expired and should be replaced.",2023-06-27T17:00:00Z,2023-06-27T17:00:00Z,2023-06-27 10:00:00,2023,2023-06-27T17:00:00Z,0,NA
archery,Jed Lichtensztajn,2023-07-17,11:15,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,Yes,Sd card collected and field pics taken,NA,"I couldn’t connect to the VuLink at first, I had to change the batteries and than I was able to connect. Live readings looked good, I pulled the AT out of the water and it looked fairly clean. Next, I cleaned off the sensors and deleted the old logs, and started a new log. Water levels were lower than the last time I was there, sonde depth came in at 2 feet after I redeployed it. Swapped SD cards camera battery was at 38%.",2023-07-17T18:15:00Z,2023-07-17T18:15:00Z,2023-07-17 11:15:00,2023,2023-07-17T18:15:00Z,0,NA
archery,Sam Struthers,2023-07-19,14:00,Sensor Cleaning or Check,x,x,NA,yes,yes,"Good (mostly black, white speckles)",no,no,none,na,no,Vu link not logging or uploading,"Vu link(821962) not logging or uploading correctly. 2 data points were downloaded, new vu link deployed (860568), log restarted and test uploaded correctly. put lock on top of housing.",2023-07-19T21:00:00Z,2023-07-19T21:00:00Z,2023-07-19 14:00:00,2023,2023-07-19T21:00:00Z,0,NA
archery,"Sam Struthers, Juan De La Torre",2023-08-10,11:20,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (Mostly Black, white speckles)",no,no,"RDO, Conductivity, pH, ORP",Yes,SD card,NA,"Pulled sensor, very dirty from recent storms and some biofilm on exterior of sonde. Cleaned up nicely, calibrated well, RDO Cap expiration warning but calibrated quickly. Live readings looked good after deployment (higher DO after cleaning), taped up cable to shorten, locked up and left. Juan checked on camera, batteries where dead and there were only 5 pictures when I downloaded them, swapped in new batteries and SD card.",2023-08-10T18:20:00Z,2023-08-10T18:15:00Z,2023-08-10 11:15:00,2023,2023-08-10T18:15:00Z,0,NA
archery,Jed Lichtensztajn,2023-08-29,10:00,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (Mostly Black, white speckles)",no,no,"RDO, Conductivity, pH, ORP",yes,SD card + field photos,NA,"Swapped the lock on top of housing for masterlock, live readings looked good upon arival. Sonde had slight levels off sediment/film on the sensors. Performed calibrations on RDO, Conductivity,pH,ORP. Swapped SD card and replaced camera bateries.",2023-08-29T17:00:00Z,2023-08-29T17:00:00Z,2023-08-29 10:00:00,2023,2023-08-29T17:00:00Z,0,NA
archery,"Sam Struthers, Kat Demaree",2023-09-01,14:15,Sensor Cleaning or Check,x,x,Added CU500,yes,yes,"Good (mostly black, white speckles)",no,no,none,na,na,NA,"Connected cu at500 with splitter and redeployed with them stacked atop one other (CU higher), CSU depth was 2.2 ft, CU at .5. should swap to 4 in when I'm back from reno. Should also make the sondes sit higher in water column, chla was very different between the two sondes (maybe balance the two in QA)",2023-09-01T21:15:00Z,2023-09-01T21:15:00Z,2023-09-01 14:15:00,2023,2023-09-01T21:15:00Z,0,NA
archery,Nick Gubbins,2023-09-13,11:40,Sensor Cleaning or Check,NA,NA,NA,no,NA,NA,no,no,None,NA,NA,VuLink,Checked site due to log stopping. Attempted to fix but could not fix.,2023-09-13T18:40:00Z,2023-09-13T18:30:00Z,2023-09-13 11:30:00,2023,2023-09-13T18:30:00Z,0,NA
archery,Nick Gubbins,2023-09-15,10:06,Sensor Cleaning or Check,NA,NA,"vulink sn1011876 installed, sn860858 pulled",no,na,na,no,no,None,NA,no,VuLink,Replaced broken VuLink with a functioning one.,2023-09-15T17:06:00Z,2023-09-15T17:00:00Z,2023-09-15 10:00:00,2023,2023-09-15T17:00:00Z,0,NA
archery,Jed Lichtensztajn,2023-09-20,13:30,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (mostly black, white speckles)",no,no,"RDO, Conductivity, pH, ORP",yes,"no, field pics taken",NA,"calibrated our sonde, sensors had slight levels biofilm on them. I rinsed off the cu sonde but didn't do a deep clean.",2023-09-20T20:30:00Z,2023-09-20T20:30:00Z,2023-09-20 13:30:00,2023,2023-09-20T20:30:00Z,0,NA
archery,Jed Lichtensztajn,2023-10-15,11:50,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (mostly black, white speckles)",no,no,"RDO, conductivity, pH, ORP",yes,"yes, swapped SD","Not realy a malfunction RDO cap is said to be expired sn 679525, however no problem while calibrating","Upgraded vulink to v1.76. Turbidty was 0 ntu for CU sonde when I checked live readings. Cleaned CU sonde was not to dirty for not being cleaned for a little while. Downloaded log from vulink deselected TDS, resisitivity,pressure,salinity,density, and extrernal voltage for CU sonde. Swapped SD cards for camera, due to lack of batteries I got the camerra to about 40% battery, when we get more 3a I will replace them to get it to 100%",2023-10-15T18:50:00Z,2023-10-15T18:45:00Z,2023-10-15 11:45:00,2023,2023-10-15T18:45:00Z,0,NA
archery,???????,2022-07-24,????,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,pH,Yes,No,NA,pH calibrated,NA,NA,NA,NA,NA,0,NA
boxcreek,"Sam Struthers, Kat Demaree",2023-09-01,13:45,Sensor Cleaning or Check,NA,x,Deployed Cu500 and rdo_blue,yes,yes,"Good (mostly black, white speckles)",no,no,none,na,na,NA,"Deployed CU AT500 and RDO blue, tried to zip tie together but was barely too small to fit down 3 in pipe, sent them down separately then kat pulled the RDO blue down as low as it could go. Temps between instruments were pretty close but off by .5-1C. Can use temp as QA until we make pipe big enough to fit both nicely",2023-09-01T20:45:00Z,2023-09-01T20:45:00Z,2023-09-01 13:45:00,2023,2023-09-01T20:45:00Z,0,NA
boxcreek,Jed Lichtensztajn,2023-09-22,12:37,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (mostly black, white speckles)",no,no,none,yes,no,NA,"vulink wasn't uploading data, i downloaded the log and started a new one, did a test upload and the comunication issue resolvled it self.",2023-09-22T19:37:00Z,2023-09-22T19:30:00Z,2023-09-22 12:30:00,2023,2023-09-22T19:30:00Z,0,NA
boxcreek,Jed Lichtensztajn,2023-09-28,15:30,Sensor Cleaning or Check,NA,NA,NA,yes,yes,"Good (mostly black, white speckles)",no,no,none,no,no,NA,cleaned CU sonde and rdo probe. I pulled the rdo probe and swapped the connection from the splitter directly between vulink and aqua troll. brought the splitter and rdo probe back to the lab waiting for renovation to make them fit better in housing.,2023-09-28T22:30:00Z,2023-09-28T22:30:00Z,2023-09-28 15:30:00,2023,2023-09-28T22:30:00Z,0,NA
boxcreek,"Sam Struthers, Juan De La Torre",2023-10-06,08:40,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",no,no,none,no,"No, Field pics taken",NA,Added new pipe and redeployed AT500 and RDO Blue. RDO blue in 3 in pipe with vulink and at500 in 2 in pipe. removed random t posts and sat 2 in pipe slightly higher in water column to avoid sedimentation. Depth decreased by .1 from start to finish,2023-10-06T15:40:00Z,2023-10-06T15:30:00Z,2023-10-06 08:30:00,2023,2023-10-06T15:30:00Z,0,NA
boxcreek,Jed Lichtensztajn,2023-10-23,16:33,Sensor Cleaning or Check,x,NA,swapped vulink,yes,yes,"Good (mostly black, white speckles)",no,no,none,no,"no, filed pics taken",NA,"vulink wouldn't turn on when it i tried to check live readings in housing. I pulled the vulink, RDO probe and AT out of housing, the vulink worked after that... Swapped the vulink for anoter one, had to update the firmware on the new vulink. I could not get the AT back in the housing, had to pull set up and bring it home for the night will redploy it tommorow 2023-10-24. downloaded the log and changed wiper to activate wiper every reading.",2023-10-23T23:33:00Z,2023-10-23T23:30:00Z,2023-10-23 16:30:00,2023,2023-10-23T23:30:00Z,1,NA
boxcreek,Jed Lichtensztajn,2023-10-24,08:20,Sensor Cleaning or Check,NA,x,NA,yes,yes,"Good (mostly black, white speckles)",no,no,none,no,no,NA,Tried getting the AT into the smaller housing kept gettinf stuck halfway down. Removed splitter connected vulink to AT directly and redployed in original housing. changed wiper frequency to activate before every reading. started a new log. brought the old vulink and rdo probe back to nesb. new vulink at site serial number:  814154,2023-10-24T15:20:00Z,2023-10-24T15:15:00Z,2023-10-24 08:15:00,2023,2023-10-24T15:15:00Z,0,NA
boxelder,Katie Willi and Sam Struthers,2022-07-27,12:20,Sensor Cleaning or Check,NA,x,NA,NA,Yes,"Good (mostly black, white speckles)",No,Yes,"ORP, DO, Conductivity, Level, Turbidity",Yes,No,NA,Deployed sonde at new installation at Boxelder Sanitation. pH sensor replaced with new one.,2022-07-27T19:20:00Z,2022-07-27T19:15:00Z,2022-07-27 12:15:00,2022,2022-07-27T19:15:00Z,0,NA
boxelder,Katie Willi and Eric Williams,2022-08-08,08:45,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"pH, ORP, DO, Conductivity, Turbidity",Yes,Yes,NA,"Calibrated, moved camera and downloaded pictures, reinforced PVC.",2022-08-08T15:45:00Z,2022-08-08T15:45:00Z,2022-08-08 08:45:00,2022,2022-08-08T15:45:00Z,0,NA
boxelder,Katie Willi,2022-08-17,11:30,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,Black water event occuring early in the week; still extremely turbid water. Sensor dirty but wiper managed to clear most debris off.,2022-08-17T18:30:00Z,2022-08-17T18:30:00Z,2022-08-17 11:30:00,2022,2022-08-17T18:30:00Z,0,NA
boxelder,Eric Williams,2022-08-30,17:27,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,Turbidity,Yes,No,turbidity,Cleaned all sensors and wiper as they had a lot of mud and some weird tubule things were growing in the resistor. Calibrated turbidity,2022-08-31T00:27:00Z,2022-08-31T00:15:00Z,2022-08-30 17:15:00,2022,2022-08-31T00:15:00Z,0,NA
boxelder,Eric Williams,2022-09-09,13:05,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,"pH, ORP, Conductivity, DO",Yes,No,turbidity,"Cleaned sonde, river velocity is very low, calibrated turbidity on 8/30",2022-09-09T20:05:00Z,2022-09-09T20:00:00Z,2022-09-09 13:00:00,2022,2022-09-09T20:00:00Z,0,NA
boxelder,Eric Williams,2022-09-16,15:10,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,Turbidity,Yes,Yes,NA,"Cleaned sonde, brushed muck off of housing",2022-09-16T22:10:00Z,2022-09-16T22:00:00Z,2022-09-16 15:00:00,2022,2022-09-16T22:00:00Z,0,NA
boxelder,Eric Williams and Marin MacDonald,2022-09-20,15:30,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,turbidity,"Cleaned sensor, checked data, connected spare sensor with functional turbidity to VuLink and pulled sensor with bad turbidity, accidentally disconnected antenna wire on VuLink then reconnected it",2022-09-20T22:30:00Z,2022-09-20T22:30:00Z,2022-09-20 15:30:00,2022,2022-09-20T22:30:00Z,0,NA
boxelder,Eric Williams,2022-09-23,08:03,Sensor Cleaning or Check,NA,NA,NA,Yes,Yes,"Good (mostly black, white speckles)",No,No,None,No,No,NA,"Sent Test Upload because I thought VuLink wasn't uploading data, but it actually was and wast just named ""Rist"", downloaded files starting at 9/14 since they didn't send to my email last time",2022-09-23T15:03:00Z,2022-09-23T15:00:00Z,2022-09-23 08:00:00,2022,2022-09-23T15:00:00Z,0,NA
